filename,file_path,label,rows,cols,total_frames,frame_times
20,/root/autodl-tmp/DSA/data/ori_data/DICOM1/20,0,1024,1024,44,"0,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,499.968,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,999.936,1000.064,1000.064"
21,/root/autodl-tmp/DSA/data/ori_data/DICOM1/21,0,1024,1024,42,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096,999.936"
22,/root/autodl-tmp/DSA/data/ori_data/DICOM1/22,1,1024,1024,35,"0,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,499.968,500.096,499.968,499.968"
23,/root/autodl-tmp/DSA/data/ori_data/DICOM1/23,1,1024,1024,55,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096,499.968"
24,/root/autodl-tmp/DSA/data/ori_data/DICOM1/24,1,1024,1024,41,"0,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,499.968,500.096"
25,/root/autodl-tmp/DSA/data/ori_data/DICOM1/25,0,1024,1024,49,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,500.096,499.968,499.968"
26,/root/autodl-tmp/DSA/data/ori_data/DICOM1/26,1,1024,1024,44,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,333.312,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312"
27,/root/autodl-tmp/DSA/data/ori_data/DICOM1/27,1,1024,1024,26,"0,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,1000.064,999.936,1000.064,999.936,1000.064,2000"
28,/root/autodl-tmp/DSA/data/ori_data/DICOM1/28,0,1024,1024,45,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312"
29,/root/autodl-tmp/DSA/data/ori_data/DICOM1/29,1,1024,1024,43,"0,166.656,166.656,166.784,166.528,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44"
30,/root/autodl-tmp/DSA/data/ori_data/DICOM1/30,0,1024,1024,55,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.528,166.784,166.656,166.656,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096,499.968"
31,/root/autodl-tmp/DSA/data/ori_data/DICOM1/31,1,1024,1024,46,"0,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44"
32,/root/autodl-tmp/DSA/data/ori_data/DICOM1/32,1,1024,1024,47,"0,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,500.096"
33,/root/autodl-tmp/DSA/data/ori_data/DICOM1/33,0,1024,1024,47,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,499.968,499.968,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,999.936,1000.064,999.936,1000.064,1000.064,999.936"
34,/root/autodl-tmp/DSA/data/ori_data/DICOM1/34,0,1024,1024,97,"0,83.328,83.328,83.456,83.2,83.328,83.328,83.456,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.456,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.328,83.456,83.328,83.328,83.328,83.328,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656"
35,/root/autodl-tmp/DSA/data/ori_data/DICOM1/35,0,1024,1024,41,"0,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.784,166.528,166.656,166.784,166.528,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,499.968,500.096,499.968,500.096,499.968,499.968,499.968,499.968,500.096,499.968"
36,/root/autodl-tmp/DSA/data/ori_data/DICOM1/36,0,1024,1024,43,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.784,166.528,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,1000.064,999.936"
37,/root/autodl-tmp/DSA/data/ori_data/DICOM1/37,0,1024,1024,24,"0,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,1000.064,1000.064,999.936,1000.064"
38,/root/autodl-tmp/DSA/data/ori_data/DICOM1/38,1,1024,1024,40,"0,166.656,166.656,166.784,166.528,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312"
39,/root/autodl-tmp/DSA/data/ori_data/DICOM1/39,1,1024,1024,40,"0,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096"
40,/root/autodl-tmp/DSA/data/ori_data/DICOM1/40,1,1024,1024,52,"0,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.784,333.184,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,500.096,499.968,499.968,500.096,499.968,499.968"
41,/root/autodl-tmp/DSA/data/ori_data/DICOM1/41,0,1024,1024,41,"0,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.784,166.528,166.656,166.656,166.656,166.656,500.096,499.968,499.968,500.096,499.968,499.968,499.968,500.096,499.968,499.968"
42,/root/autodl-tmp/DSA/data/ori_data/DICOM1/42,0,1024,1024,49,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,499.968,499.968,500.096"
43,/root/autodl-tmp/DSA/data/ori_data/DICOM1/43,0,1024,1024,41,"0,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968"
44,/root/autodl-tmp/DSA/data/ori_data/DICOM1/44,1,1024,1024,46,"0,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,499.968,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,1000.064,999.936,1000.064,999.936,1000.064"
45,/root/autodl-tmp/DSA/data/ori_data/DICOM1/45,1,1024,1024,43,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,1000.064,999.936"
46,/root/autodl-tmp/DSA/data/ori_data/DICOM1/46,1,1024,1024,44,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44"
47,/root/autodl-tmp/DSA/data/ori_data/DICOM1/47,0,1024,1024,41,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096"
48,/root/autodl-tmp/DSA/data/ori_data/DICOM1/48,0,1024,1024,41,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968"
49,/root/autodl-tmp/DSA/data/ori_data/DICOM1/49,0,1024,1024,26,"0,333.312,333.312,333.44,333.184,333.44,333.44,333.184,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,999.936,1000.064,999.936,1000.064,1000.064,2000"
50,/root/autodl-tmp/DSA/data/ori_data/DICOM1/50,0,1024,1024,54,"0,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,500.096,499.968,499.968,500.096,499.968,499.968,500.096,499.968"
51,/root/autodl-tmp/DSA/data/ori_data/DICOM1/51,1,1024,1024,44,"0,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,499.968,500.096,499.968,499.968,500.096,499.968,499.968,499.968,500.096,499.968,1000.064,999.936,1000.064"
52,/root/autodl-tmp/DSA/data/ori_data/DICOM1/52,0,1024,1024,42,"0,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,499.968,500.096,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,1000.064"
53,/root/autodl-tmp/DSA/data/ori_data/DICOM1/53,0,1024,1024,25,"0,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,1000.064,999.936,1000.064,999.936,1000.064"
54,/root/autodl-tmp/DSA/data/ori_data/DICOM1/54,0,1024,1024,52,"0,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.44,499.968,499.968,499.968,500.096,499.968,499.968"
55,/root/autodl-tmp/DSA/data/ori_data/DICOM1/55,0,1024,1024,50,"0,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,500.096,499.968,499.968,499.968"
56,/root/autodl-tmp/DSA/data/ori_data/DICOM1/56,1,1024,1024,44,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.784,166.528,166.656,166.784,166.656,166.656,166.656,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312"
57,/root/autodl-tmp/DSA/data/ori_data/DICOM1/57,1,1024,1024,41,"0,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,500.096,499.968,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968"
58,/root/autodl-tmp/DSA/data/ori_data/DICOM1/58,1,1024,1024,44,"0,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312"
59,/root/autodl-tmp/DSA/data/ori_data/DICOM1/59,0,1024,1024,21,"0,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,1000.064"
60,/root/autodl-tmp/DSA/data/ori_data/DICOM1/60,1,1024,1024,37,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,500.096,499.968,499.968,500.096,499.968,499.968"
61,/root/autodl-tmp/DSA/data/ori_data/DICOM1/61,0,1024,1024,21,"0,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,1000.064"
62,/root/autodl-tmp/DSA/data/ori_data/DICOM1/62,1,1024,1024,42,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,500.096,499.968,499.968,500.096,499.968,499.968,499.968,500.096,499.968,499.968,1000.064"
63,/root/autodl-tmp/DSA/data/ori_data/DICOM1/63,1,1024,1024,47,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.784,166.528,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,499.968"
64,/root/autodl-tmp/DSA/data/ori_data/DICOM1/64,0,1024,1024,43,"0,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,499.968,499.968,500.096,499.968,499.968,500.096,499.968,499.968,499.968,500.096,999.936,1000.064"
65,/root/autodl-tmp/DSA/data/ori_data/DICOM1/65,1,1024,1024,49,"0,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.656,166.784,166.656,166.656,166.656,166.656,166.656,333.312,333.312,333.44,333.312,333.312,333.312,333.44,333.312,333.312,333.312,333.312,333.44,333.312,333.312,333.312,499.968,500.096,499.968"
